work_id,actress_id,role,position
work_000001,actress_000001,actress,1
work_000002,actress_000002,actress,1
work_000003,actress_000003,actress,1
work_000003,actress_000004,actress,2
work_000004,actress_000005,actress,1
work_000005,actress_000006,actress,1
work_000006,actress_000007,actress,1
work_000007,actress_000008,actress,1
work_000008,actress_000009,actress,1
work_000009,actress_000010,actress,1
work_000010,actress_000003,actress,1
work_000011,actress_000011,actress,1
work_000012,actress_000012,actress,1
work_000013,actress_000013,actress,1
work_000014,actress_000014,actress,1
work_000015,actress_000015,actress,1
work_000016,actress_000016,actress,1
work_000018,actress_000002,actress,1
work_000019,actress_000017,actress,1
work_000020,actress_000018,actress,1
work_000021,actress_000019,actress,1
work_000022,actress_000020,actress,1
work_000023,actress_000021,actress,1
work_000024,actress_000022,actress,1
work_000025,actress_000023,actress,1
work_000026,actress_000021,actress,1
work_000027,actress_000024,actress,1
work_000027,actress_000025,actress,2
work_000028,actress_000026,actress,1
work_000029,actress_000027,actress,1
work_000030,actress_000028,actress,1
work_000031,actress_000029,actress,1
work_000032,actress_000030,actress,1
work_000033,actress_000031,actress,1
work_000034,actress_000032,actress,1
work_000035,actress_000033,actress,1
work_000036,actress_000034,actress,1
work_000037,actress_000017,actress,1
work_000038,actress_000035,actress,1
work_000038,actress_000036,actress,2
work_000039,actress_000037,actress,1
work_000040,actress_000037,actress,1
work_000041,actress_000038,actress,1
work_000043,actress_000039,actress,1
work_000044,actress_000040,actress,1
work_000045,actress_000041,actress,1
