work_id,director_id,position
work_000001,director_000001,1
work_000003,director_000002,1
work_000004,director_000003,1
work_000005,director_000004,1
work_000007,director_000005,1
work_000008,director_000002,1
work_000009,director_000006,1
work_000010,director_000007,1
work_000011,director_000008,1
work_000012,director_000009,1
work_000013,director_000010,1
work_000014,director_000011,1
work_000015,director_000012,1
work_000016,director_000013,1
work_000017,director_000011,1
work_000018,director_000012,1
work_000019,director_000014,1
work_000021,director_000015,1
work_000022,director_000016,1
work_000023,director_000006,1
work_000024,director_000017,1
work_000025,director_000013,1
work_000033,director_000018,1
work_000034,director_000019,1
work_000035,director_000018,1
work_000037,director_000011,1
work_000038,director_000011,1
work_000039,director_000020,1
work_000040,director_000021,1
