work_id,genre_id
work_000001,genre_000001
work_000001,genre_000002
work_000001,genre_000003
work_000001,genre_000004
work_000001,genre_000005
work_000001,genre_000006
work_000002,genre_000007
work_000003,genre_000008
work_000003,genre_000004
work_000003,genre_000009
work_000003,genre_000010
work_000003,genre_000011
work_000003,genre_000012
work_000003,genre_000013
work_000003,genre_000014
work_000004,genre_000015
work_000004,genre_000016
work_000004,genre_000003
work_000004,genre_000017
work_000004,genre_000011
work_000004,genre_000018
work_000004,genre_000019
work_000004,genre_000020
work_000004,genre_000014
work_000005,genre_000021
work_000005,genre_000004
work_000005,genre_000016
work_000005,genre_000022
work_000005,genre_000011
work_000005,genre_000023
work_000005,genre_000019
work_000005,genre_000020
work_000005,genre_000014
work_000006,genre_000024
work_000006,genre_000025
work_000006,genre_000026
work_000006,genre_000011
work_000006,genre_000019
work_000006,genre_000020
work_000006,genre_000014
work_000006,genre_000027
work_000007,genre_000028
work_000007,genre_000010
work_000007,genre_000011
work_000007,genre_000012
work_000007,genre_000013
work_000007,genre_000019
work_000007,genre_000020
work_000007,genre_000014
work_000008,genre_000025
work_000008,genre_000029
work_000008,genre_000004
work_000008,genre_000010
work_000008,genre_000011
work_000008,genre_000019
work_000008,genre_000020
work_000008,genre_000014
work_000009,genre_000024
work_000009,genre_000030
work_000009,genre_000001
work_000009,genre_000010
work_000009,genre_000011
work_000009,genre_000031
work_000009,genre_000020
work_000009,genre_000032
work_000009,genre_000014
work_000010,genre_000033
work_000010,genre_000034
work_000010,genre_000010
work_000010,genre_000011
work_000010,genre_000012
work_000010,genre_000035
work_000010,genre_000019
work_000010,genre_000020
work_000010,genre_000032
work_000010,genre_000014
work_000011,genre_000007
work_000011,genre_000009
work_000011,genre_000010
work_000011,genre_000011
work_000011,genre_000012
work_000011,genre_000020
work_000011,genre_000014
work_000012,genre_000001
work_000012,genre_000029
work_000012,genre_000010
work_000012,genre_000011
work_000012,genre_000035
work_000012,genre_000019
work_000012,genre_000020
work_000012,genre_000032
work_000012,genre_000014
work_000013,genre_000028
work_000013,genre_000029
work_000013,genre_000010
work_000013,genre_000011
work_000013,genre_000036
work_000013,genre_000020
work_000013,genre_000014
work_000013,genre_000037
work_000014,genre_000007
work_000014,genre_000025
work_000014,genre_000029
work_000014,genre_000010
work_000014,genre_000038
work_000014,genre_000011
work_000014,genre_000039
work_000014,genre_000020
work_000014,genre_000032
