id,name,name_ja,slug,description,created_at,updated_at
genre_000001,フェラ,フェラ,moodyz-113,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000002,パイズリ,パイズリ,moodyz-126,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000003,騎乗位,騎乗位,moodyz-431,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000004,美少女,美少女,moodyz-330,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000005,メイド,メイド,moodyz-9069,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000006,VR専用,VR専用,moodyz-487,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
genre_000007,Slender,,slender,,2026-09-04T06:26:39Z,2026-09-04T06:26:39Z
genre_000008,3P・4P,3P・4P,metatube-JavBus-3200468f1f,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000009,美乳,美乳,metatube-JavBus-4464f10587,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000010,ギリモザ,ギリモザ,metatube-JavBus-f2fa31e270,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000011,ハイビジョン,ハイビジョン,metatube-JavBus-6a63da99f0,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000012,寝取り・寝取られ,寝取り・寝取られ,metatube-JavBus-7017909de1,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000013,ドラマ,ドラマ,metatube-JavBus-77bf3dd73e,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000014,独占配信,独占配信,metatube-JavBus-772cdec556,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000015,淫語,淫語,metatube-JavBus-8d3154b878,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000016,デジモ,デジモ,metatube-JavBus-c39811b970,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000017,主観,主観,metatube-JavBus-e55126756e,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000018,顔面騎乗,顔面騎乗,metatube-JavBus-8cdb2c7dc0,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000019,巨乳,巨乳,metatube-JavBus-f7f4f3529b,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000020,単体作品,単体作品,metatube-JavBus-2d5a1de18a,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000021,ハメ撮り,ハメ撮り,metatube-JavBus-b03ff91d92,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000022,イラマチオ,イラマチオ,metatube-JavBus-426b690eb8,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000023,女子校生,女子校生,metatube-JavBus-370256efd8,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000024,痴女,痴女,metatube-JavBus-42b6825023,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000025,潮吹き,潮吹き,metatube-JavBus-9cdef30322,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000026,中出し,中出し,metatube-JavBus-3fe20114f3,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
genre_000027,手コキ,手コキ,metatube-JavBus-ccb8c72421,,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
