id,work_id,code,normalized_code,code_type,is_primary,source_id
code_000001,work_000001,MDVR-434,MDVR434,catalog,true,source_000002
code_000002,work_000002,IPZZ-597,IPZZ597,catalog,true,source_000004
code_000003,work_000003,SSIS-001,SSIS001,catalog,true,source_000005
code_000004,work_000004,MIDE-345,MIDE345,catalog,true,source_000006
code_000005,work_000005,IPX-001,IPX001,catalog,true,source_000007
code_000006,work_000006,WANZ-912,WANZ912,catalog,true,source_000008
code_000007,work_000007,SSIS-050,SSIS050,catalog,true,source_000009
code_000008,work_000008,SSIS-100,SSIS100,catalog,true,source_000010
code_000009,work_000009,SSIS-200,SSIS200,catalog,true,source_000011
code_000010,work_000010,SSIS-300,SSIS300,catalog,true,source_000012
code_000011,work_000011,SSIS-400,SSIS400,catalog,true,source_000013
code_000012,work_000012,SSIS-500,SSIS500,catalog,true,source_000014
code_000013,work_000013,SSIS-600,SSIS600,catalog,true,source_000015
code_000014,work_000014,SSIS-700,SSIS700,catalog,true,source_000016
code_000015,work_000015,IPX-100,IPX100,catalog,true,source_000017
code_000016,work_000016,IPX-200,IPX200,catalog,true,source_000018
code_000017,work_000017,IPX-300,IPX300,catalog,true,source_000019
code_000018,work_000018,IPX-400,IPX400,catalog,true,source_000020
code_000019,work_000019,IPX-500,IPX500,catalog,true,source_000021
code_000020,work_000020,IPX-600,IPX600,catalog,true,source_000022
code_000021,work_000021,MIDE-100,MIDE100,catalog,true,source_000023
code_000022,work_000022,MIDE-200,MIDE200,catalog,true,source_000024
code_000023,work_000023,MIDE-300,MIDE300,catalog,true,source_000025
code_000024,work_000024,MIDE-400,MIDE400,catalog,true,source_000026
code_000025,work_000025,MIDE-500,MIDE500,catalog,true,source_000027
code_000026,work_000026,WANZ-100,WANZ100,catalog,true,source_000028
code_000027,work_000027,WANZ-200,WANZ200,catalog,true,source_000029
code_000028,work_000028,WANZ-300,WANZ300,catalog,true,source_000030
code_000029,work_000029,WANZ-400,WANZ400,catalog,true,source_000031
code_000030,work_000030,WANZ-500,WANZ500,catalog,true,source_000032
code_000031,work_000031,WANZ-700,WANZ700,catalog,true,source_000033
code_000032,work_000032,WANZ-900,WANZ900,catalog,true,source_000034
code_000033,work_000033,PRED-100,PRED100,catalog,true,source_000035
code_000034,work_000034,PRED-200,PRED200,catalog,true,source_000036
code_000035,work_000035,PRED-300,PRED300,catalog,true,source_000037
code_000036,work_000036,PPPD-100,PPPD100,catalog,true,source_000038
code_000037,work_000037,IPZZ-100,IPZZ100,catalog,true,source_000039
code_000038,work_000038,IPZZ-300,IPZZ300,catalog,true,source_000040
code_000039,work_000039,SNIS-001,SNIS001,catalog,true,source_000041
code_000040,work_000040,SNIS-100,SNIS100,catalog,true,source_000042
code_000041,work_000041,ABP-001,ABP001,catalog,true,source_000043
code_000042,work_000042,ABA-001,ABA001,catalog,true,source_000044
code_000043,work_000043,HEYZO-0001,HEYZO0001,catalog,true,source_000045
code_000044,work_000044,040420_01,04042001,catalog,true,source_000046
code_000045,work_000045,040420-001,040420001,catalog,true,source_000047
