id,primary_code,title,title_ja,release_date,duration_min,maker_id,label_id,series_id,description,cover_url,thumb_url,backdrop_url,score,created_at,updated_at
work_000001,MDVR-434,ご奉仕したいのに自分もイッちゃう激カワ敏感メイドと献身的な即尺フェラチオ&癒しのH カップ包みパイズリでハメまくる最高の休日,ご奉仕したいのに自分もイッちゃう激カワ敏感メイドと献身的な即尺フェラチオ&癒しのH カップ包みパイズリでハメまくる最高の休日,2026-08-11,90,maker_000001,label_000001,,,https://cdn.up-timely.com/image/30/content/85956/Dfso5IUKMuwfziBdfYsGiA5k9Y8Ukm7rKsayuHbz.jpg,,,,2026-08-31T14:50:24Z,2026-08-31T14:50:24Z
work_000002,IPZZ-597,Grave-bound secret with Kana-chan,墓まで持っていく僕とかなちゃん二人だけの秘密,2025-08-08,127,maker_000002,label_000002,,,,,,,2026-09-04T06:26:39Z,2026-09-04T06:26:39Z
work_000003,SSIS-001,一ヶ月間の禁欲の果てに彼女のルームメイト2人と浮気SEXだけに没頭した彼女不在の3日間。 葵つかさ 乙白さやか,一ヶ月間の禁欲の果てに彼女のルームメイト2人と浮気SEXだけに没頭した彼女不在の3日間。 葵つかさ 乙白さやか,2021-02-18,150,maker_000003,label_000003,,,https://www.javbus.com/pics/cover/83ie_b.jpg,https://www.javbus.com/pics/thumb/83ie.jpg,,0,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
work_000004,MIDE-345,JULIA 騎乗位SPECIAL,JULIA 騎乗位SPECIAL,2016-07-30,150,maker_000004,label_000004,,,https://www.javbus.com/pics/cover/5klt_b.jpg,https://www.javbus.com/pics/thumb/5klt.jpg,,0,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
work_000005,IPX-001,女子校生便所交際 便所でしか濡れないおじさん好きの変態マゾ美少女と思う存分便所ファック！ 妃月るい,女子校生便所交際 便所でしか濡れないおじさん好きの変態マゾ美少女と思う存分便所ファック！ 妃月るい,2017-08-11,160,maker_000002,label_000002,,,https://www.javbus.com/pics/cover/649d_b.jpg,https://www.javbus.com/pics/thumb/649d.jpg,,0,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
work_000006,WANZ-912,男潮吹きそのまま挿入、スプラッシュ中出し！ 桐谷まつり,男潮吹きそのまま挿入、スプラッシュ中出し！ 桐谷まつり,2019-11-23,119,maker_000005,label_000005,series_000001,,https://www.javbus.com/pics/cover/7f05_b.jpg,https://www.javbus.com/pics/thumb/7f05.jpg,,0,2026-09-04T08:56:42Z,2026-09-04T08:56:42Z
work_000007,SSIS-050,上司が出張で不在中、上司のJカップ妻とめちゃくちゃハメまくった3日間。 安齋らら,上司が出張で不在中、上司のJカップ妻とめちゃくちゃハメまくった3日間。 安齋らら,2021-04-14,120,maker_000003,label_000003,series_000002,,https://www.javbus.com/pics/cover/86q8_b.jpg,https://www.javbus.com/pics/thumb/86q8.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000008,SSIS-100,激イキ108回！痙攣4800回！イキ潮1500cc！ 純白Gカップ少女エロス覚醒 はじめての大・痙・攣スペシャル はやのうた,激イキ108回！痙攣4800回！イキ潮1500cc！ 純白Gカップ少女エロス覚醒 はじめての大・痙・攣スペシャル はやのうた,2021-06-16,120,maker_000003,label_000003,series_000003,,https://www.javbus.com/pics/cover/89yc_b.jpg,https://www.javbus.com/pics/thumb/89yc.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000009,SSIS-200,「先生のフェラのほうが気持ち良いよ？」 彼女ができた僕に嫉妬した痴女教師が執拗即尺で何度も寝取ろうとしてくる miru,「先生のフェラのほうが気持ち良いよ？」 彼女ができた僕に嫉妬した痴女教師が執拗即尺で何度も寝取ろうとしてくる miru,2021-10-08,119,maker_000003,label_000003,,,https://www.javbus.com/pics/cover/8hcw_b.jpg,https://www.javbus.com/pics/thumb/8hcw.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000010,SSIS-300,彼女の綺麗なお姉さんと二人きり… 突然のベロキス、イヤラしく舐め尽くされてセックス三昧 こんな僕って最低ですか…？ 葵つかさ,彼女の綺麗なお姉さんと二人きり… 突然のベロキス、イヤラしく舐め尽くされてセックス三昧 こんな僕って最低ですか…？ 葵つかさ,2022-01-21,118,maker_000003,label_000003,,,https://www.javbus.com/pics/cover/8q6n_b.jpg,https://www.javbus.com/pics/thumb/8q6n.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000011,SSIS-400,出張先で軽蔑している中年セクハラ上司とまさかの相部屋に… 深夜から早朝フライトまで続く絶倫性交に膣堕ちした新人客室乗務員 楓ふうあ,出張先で軽蔑している中年セクハラ上司とまさかの相部屋に… 深夜から早朝フライトまで続く絶倫性交に膣堕ちした新人客室乗務員 楓ふうあ,2022-05-06,120,maker_000003,label_000003,series_000004,,https://www.javbus.com/pics/cover/8wkq_b.jpg,https://www.javbus.com/pics/thumb/8wkq.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000012,SSIS-500,小宵こなんの濃厚な唾液性交,小宵こなんの濃厚な唾液性交,2022-08-19,156,maker_000003,label_000003,series_000005,,https://www.javbus.com/pics/cover/939l_b.jpg,https://www.javbus.com/pics/thumb/939l.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000013,SSIS-600,毎晩、コインランドリーで寝落ちした完全無防備のスキだらけ奥さんと洗濯終わりまでハメまくる日々 星宮一花,毎晩、コインランドリーで寝落ちした完全無防備のスキだらけ奥さんと洗濯終わりまでハメまくる日々 星宮一花,2023-01-20,140,maker_000003,label_000003,,,https://www.javbus.com/pics/cover/9gin_b.jpg,https://www.javbus.com/pics/thumb/9gin.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000014,SSIS-700,ピストンでエビ反り反応！追撃ピストンで痙攣絶頂！！とどめピストンで大量失禁イキ！！！ 鬼連突き限界アクメを更に超える膣奥オーガズム到達ピストンFUCK 小島みなみ,ピストンでエビ反り反応！追撃ピストンで痙攣絶頂！！とどめピストンで大量失禁イキ！！！ 鬼連突き限界アクメを更に超える膣奥オーガズム到達ピストンFUCK 小島みなみ,2023-05-05,117,maker_000003,label_000003,,,https://www.javbus.com/pics/cover/9ngr_b.jpg,https://www.javbus.com/pics/thumb/9ngr.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000015,IPX-100,ドエロいお姉さんと交わすヨダレだらだらツバだくだく濃厚な接吻とセックス 愛世くらら,ドエロいお姉さんと交わすヨダレだらだらツバだくだく濃厚な接吻とセックス 愛世くらら,2018-03-03,160,maker_000002,label_000002,series_000006,,https://www.javbus.com/pics/cover/6eww_b.jpg,https://www.javbus.com/pics/thumb/6eww.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000016,IPX-200,フェラチオ大好き過ぎて…絶対即尺！からの本番！連射お約束 凄テクソープ嬢 結城のの,フェラチオ大好き過ぎて…絶対即尺！からの本番！連射お約束 凄テクソープ嬢 結城のの,2018-09-13,120,maker_000002,label_000002,,,https://www.javbus.com/pics/cover/6q62_b.jpg,https://www.javbus.com/pics/thumb/6q62.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000017,IPX-300,Fカップ90cm桃色乳房！ 中出しOK秋葉原の家電量販店勤務オタク系巨乳美少女AVデビュー 逸材発掘プロジェクト,Fカップ90cm桃色乳房！ 中出しOK秋葉原の家電量販店勤務オタク系巨乳美少女AVデビュー 逸材発掘プロジェクト,2019-04-07,170,maker_000002,label_000002,series_000007,,https://www.javbus.com/pics/cover/71j6_b.jpg,https://www.javbus.com/pics/thumb/71j6.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000018,IPX-400,就職したい私につけ込む性処理ブラックインターンシップ 今日も上司は私だけ帰してくれません… 桃乃木かな,就職したい私につけ込む性処理ブラックインターンシップ 今日も上司は私だけ帰してくれません… 桃乃木かな,2019-11-09,150,maker_000002,label_000002,,,https://www.javbus.com/pics/cover/7cww_b.jpg,https://www.javbus.com/pics/thumb/7cww.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
work_000019,IPX-500,もうセックスなしでは生きていけない… 絶頂イキ186回 マ○コ痙攣2236回 鬼ピストン3687回 快感潮 測定不能 絶頂覚醒 加美杏奈,もうセックスなしでは生きていけない… 絶頂イキ186回 マ○コ痙攣2236回 鬼ピストン3687回 快感潮 測定不能 絶頂覚醒 加美杏奈,2020-06-11,170,maker_000002,label_000002,series_000008,,https://www.javbus.com/pics/cover/7peo_b.jpg,https://www.javbus.com/pics/thumb/7peo.jpg,,0,2026-09-05T03:31:50Z,2026-09-05T03:31:50Z
